writing to data\v1  (14 workers)
  train: 25/6000 episodes (54.5/min, ~109.5 min left)
  train: 50/6000 episodes (60.8/min, ~97.8 min left)
  train: 75/6000 episodes (63.6/min, ~93.2 min left)
  train: 100/6000 episodes (68.4/min, ~86.3 min left)
  train: 125/6000 episodes (66.8/min, ~87.9 min left)
  train: 150/6000 episodes (66.3/min, ~88.2 min left)
  train: 175/6000 episodes (68.0/min, ~85.6 min left)
  train: 200/6000 episodes (67.2/min, ~86.3 min left)
  train: 225/6000 episodes (69.1/min, ~83.6 min left)
  train: 250/6000 episodes (70.8/min, ~81.2 min left)
  train: 275/6000 episodes (70.4/min, ~81.4 min left)
