writing to data\v1  (3 workers)
  train: train_000 already complete, skipping
  train: train_001 already complete, skipping
  train: train_002 already complete, skipping
  train: train_003 already complete, skipping
  train: train_004 already complete, skipping
  train: train_005 already complete, skipping
  train: train_006 already complete, skipping
  train: train_007 already complete, skipping
  train: train_008 already complete, skipping
  train: train_009 already complete, skipping
  train: train_010 already complete, skipping
  train: train_011 already complete, skipping
  train: train_012 already complete, skipping
  train: train_013 already complete, skipping
  train: 3525/6000 episodes (18.4/min, ~134.5 min left)
  train: 3550/6000 episodes (17.1/min, ~143.3 min left)
  train: 3575/6000 episodes (17.5/min, ~138.5 min left)
  train: 3600/6000 episodes (17.9/min, ~134.0 min left)
  train: 3625/6000 episodes (18.0/min, ~132.2 min left)
  train: 3650/6000 episodes (17.9/min, ~131.5 min left)
  train: 3675/6000 episodes (18.1/min, ~128.7 min left)
  train: 3700/6000 episodes (18.1/min, ~127.3 min left)
  train: 3725/6000 episodes (17.9/min, ~126.9 min left)
  train: 3750/6000 episodes (18.2/min, ~123.7 min left)
  train: 3775/6000 episodes (18.3/min, ~121.5 min left)
  train: 3800/6000 episodes (18.5/min, ~119.2 min left)
  train: 3825/6000 episodes (18.6/min, ~116.9 min left)
  train: 3850/6000 episodes (18.7/min, ~115.2 min left)
  train: 3875/6000 episodes (18.9/min, ~112.5 min left)
  train: 3900/6000 episodes (18.9/min, ~110.8 min left)
  train: 3925/6000 episodes (19.1/min, ~108.4 min left)
  train: 3950/6000 episodes (19.2/min, ~106.6 min left)
  train: 3975/6000 episodes (19.4/min, ~104.3 min left)
  train: 4000/6000 episodes (19.5/min, ~102.7 min left)
  train: 4025/6000 episodes (19.6/min, ~101.0 min left)
  train: 4050/6000 episodes (19.7/min, ~98.9 min left)
  train: 4075/6000 episodes (19.8/min, ~97.4 min left)
  train: 4100/6000 episodes (19.9/min, ~95.5 min left)
  train: 4125/6000 episodes (20.0/min, ~94.0 min left)
  train: 4150/6000 episodes (20.0/min, ~92.3 min left)
  train: 4175/6000 episodes (20.0/min, ~91.1 min left)
  train: 4200/6000 episodes (20.0/min, ~90.0 min left)
  train: 4225/6000 episodes (20.1/min, ~88.5 min left)
  train: 4250/6000 episodes (20.1/min, ~87.2 min left)
  train: 4275/6000 episodes (20.1/min, ~85.7 min left)
  train: 4300/6000 episodes (20.2/min, ~84.4 min left)
  train: 4325/6000 episodes (20.2/min, ~82.9 min left)
  train: 4350/6000 episodes (20.2/min, ~81.6 min left)
  train: 4375/6000 episodes (20.3/min, ~80.2 min left)
  train: 4400/6000 episodes (20.2/min, ~79.0 min left)
  train: 4425/6000 episodes (20.3/min, ~77.7 min left)
  train: 4450/6000 episodes (20.3/min, ~76.4 min left)
  train: 4475/6000 episodes (20.3/min, ~75.2 min left)
  train: 4500/6000 episodes (20.3/min, ~74.1 min left)
  train: 4525/6000 episodes (20.3/min, ~72.7 min left)
  train: 4550/6000 episodes (20.3/min, ~71.4 min left)
  train: 4575/6000 episodes (20.3/min, ~70.2 min left)
  train: 4600/6000 episodes (20.2/min, ~69.1 min left)
  train: 4625/6000 episodes (20.2/min, ~68.0 min left)
  train: 4650/6000 episodes (20.2/min, ~66.8 min left)
  train: 4675/6000 episodes (20.2/min, ~65.5 min left)
  train: 4700/6000 episodes (20.2/min, ~64.2 min left)
  train: 4725/6000 episodes (20.2/min, ~63.1 min left)
  train: 4750/6000 episodes (20.2/min, ~62.0 min left)
  train: 4775/6000 episodes (20.1/min, ~60.9 min left)
  train: 4800/6000 episodes (20.0/min, ~59.9 min left)
  train: 4825/6000 episodes (20.0/min, ~58.6 min left)
  train: 4850/6000 episodes (20.1/min, ~57.3 min left)
  train: 4875/6000 episodes (20.1/min, ~55.9 min left)
  train: 4900/6000 episodes (20.2/min, ~54.6 min left)
  train: 4925/6000 episodes (20.2/min, ~53.3 min left)
  train: 4950/6000 episodes (20.2/min, ~52.1 min left)
  train: 4975/6000 episodes (20.1/min, ~50.9 min left)
  train: 5000/6000 episodes (20.2/min, ~49.6 min left)
  train: 5025/6000 episodes (20.2/min, ~48.4 min left)
  train: 5050/6000 episodes (20.2/min, ~47.1 min left)
  train: 5075/6000 episodes (20.2/min, ~45.8 min left)
  train: 5100/6000 episodes (20.2/min, ~44.6 min left)
  train: 5125/6000 episodes (20.2/min, ~43.3 min left)
  train: 5150/6000 episodes (20.2/min, ~42.1 min left)
  train: 5175/6000 episodes (20.2/min, ~40.9 min left)
  train: 5200/6000 episodes (20.1/min, ~39.8 min left)
  train: 5225/6000 episodes (20.1/min, ~38.5 min left)
  train: 5250/6000 episodes (20.1/min, ~37.3 min left)
  train: 5275/6000 episodes (20.0/min, ~36.2 min left)
