writing to data\v1  (3 workers)
  train: train_000 already complete, skipping
  train: train_001 already complete, skipping
  train: train_002 already complete, skipping
  train: train_003 already complete, skipping
  train: train_004 already complete, skipping
  train: train_005 already complete, skipping
  train: train_006 already complete, skipping
  train: train_007 already complete, skipping
  train: train_008 already complete, skipping
  train: train_009 already complete, skipping
  train: train_010 already complete, skipping
  train: train_011 already complete, skipping
  train: train_012 already complete, skipping
  train: train_013 already complete, skipping
  train: 3525/6000 episodes (12.0/min, ~205.7 min left)
