,run_id,params,MAE@1 (mm),MAE@5 (mm),MAE@20 (mm),MAE@50 (mm),masked MAE@20 (mm),volume err@5 (%),volume err@20 (%),volume err@50 (%),repose viol@20 (%),beats identity to k
15,unet_K5_n2000_s0,1008558,1.538,6.882,20.54,34.617,30.52,9.37,9.95,10.15,12.054,>50
14,unet_K1_n2000_s0,1008558,3.498,15.597,50.419,103.517,78.18,81.75,85.86,88.32,6.461,>50
11,latentB_K5_z64_n6000_s0,1005361,3.57,16.145,54.567,143.82,84.42,69.27,62.78,55.06,13.324,49
9,latentB_K5_z64_n4000_s0,1005361,3.581,16.148,55.352,119.641,85.85,67.57,62.38,37.75,10.87,49
7,latentB_K5_z64_n2000_s0,1005361,3.586,16.305,53.777,193.58,83.41,63.64,59.19,98.2,11.295,49
1,latentA_K5_z64_n2000_s0,1005361,3.524,16.391,50.626,95.886,79.11,67.92,66.51,61.14,12.097,>50
6,latentB_K5_z64_n1000_s0,1005361,3.617,16.496,57.891,378.391,91.53,70.34,41.46,206.54,7.437,49
3,latentB_K5_z16_n2000_s0,894673,3.561,16.645,51.961,103.3,82.39,58.46,42.87,36.3,8.679,>50
10,latentB_K5_z64_n500_s0,1005361,3.629,16.692,54.677,161.459,85.82,66.02,48.19,61.84,10.373,49
8,latentB_K5_z64_n250_s0,1005361,3.815,17.942,61.625,157.101,96.43,62.71,24.93,47.54,5.63,49
4,latentB_K5_z256_n2000_s0,1448113,4.394,20.252,71.414,151.524,111.35,-82.57,-86.94,-86.62,5.768,19
0,identity,0,4.642,22.835,63.657,103.74,107.21,-25.0,-25.0,-25.0,0.0,never
5,latentB_K5_z64_l1_n2000_s0,1005361,4.642,22.835,63.658,103.741,107.21,-25.0,-25.0,-25.0,0.0,never
12,latentB_K5_z64_noact_n2000_s0,1005361,4.652,22.872,63.728,103.832,107.2,-25.23,-25.23,-25.25,0.0,never
16,unet_K5_noact_n2000_s0,1008558,4.809,23.191,64.317,102.344,106.58,-25.39,-25.36,-25.36,0.0,0
2,latentB_K1_z64_n2000_s0,1005361,3.542,38.896,158.754,452.395,178.36,105.33,198.31,288.19,22.284,4
13,mean_terrain,0,42.041,58.929,85.477,115.968,119.15,-25.0,-25.0,-25.0,0.0,never
