run_id,test_indist,test_ood_terrain,test_ood_soil,test_ood_both,test_ood_policy
identity,63.66,60.89,68.0,65.55,61.32
latentA_K5_z64_n2000_s0,50.63,51.26,54.86,54.76,49.85
latentB_K1_z64_n2000_s0,158.75,160.56,165.1,166.66,164.29
latentB_K5_z16_n2000_s0,51.96,53.72,56.17,56.4,50.56
latentB_K5_z256_n2000_s0,71.41,68.39,75.86,73.35,68.59
latentB_K5_z64_l1_n2000_s0,63.66,60.89,68.0,65.55,61.32
latentB_K5_z64_n1000_s0,57.89,60.14,63.5,64.89,56.06
latentB_K5_z64_n2000_s0,53.78,56.01,59.87,62.15,53.62
latentB_K5_z64_n250_s0,61.63,61.17,67.75,67.78,59.95
latentB_K5_z64_n4000_s0,55.35,56.69,59.76,60.58,53.25
latentB_K5_z64_n500_s0,54.68,57.23,59.54,61.71,52.7
latentB_K5_z64_n6000_s0,54.57,56.16,58.89,60.3,52.9
latentB_K5_z64_noact_n2000_s0,63.73,60.95,68.07,65.62,61.4
mean_terrain,85.48,190.98,90.1,228.57,89.59
unet_K1_n2000_s0,50.42,52.76,55.64,60.22,48.99
unet_K5_n2000_s0,20.54,24.55,29.97,34.45,22.75
unet_K5_noact_n2000_s0,64.32,61.94,68.65,66.65,61.91
